"Symbol";"Value";"Unit";
"TraceParts.PartStatus";"Published";"";
"TraceParts.PartLanguage";"en";"";
"Closure_Type";"Double Shielded";"";
"Maximum_RPM_Grease";"39000 rpm";"";
"Outer_Ring_Width";"5 mm";"";
"SUPPLIER";"NTN Bearing Company";"";
"Inner_Ring_Width";"5 mm";"";
"REFERENCE";"W686T2ZZ";"";
"Motion_Internal_Description";"W686T2ZZ BALL BRG";"";
"Bearing_Material";"High Carbon Chrome Steel";"";
"TraceParts.PartTitle";"Radial/Deep Groove Ball Bearing, W686T2ZZ";"";
"DESIGN";"Radial/Deep Groove Ball Bearing, Round Bore, 6 mm ID, 13 mm OD, 5 mm Width, Double Shielded, CN Internal Clearance";"";
"Precision_Rating";"ISO Class 0";"";
"Outside_Diameter";"13 mm";"";
"Finish_Coating";"Uncoated";"";
"TraceParts.PartVersion";"1.0.0";"";
"TraceParts.PartNumber";"90-20102020-047584";"";
"Part_Number_EShop_URL";"https://motionindustries.com/products/sku/00144585";"";
"Internal_Clearance";"CN";"";
"TraceParts.PartStatusId";"";"";
"Fillet_Radius";"0.15 mm";"";
"SUPPLIER_PART_NUMBER";"00144585";"";
"SUPPLIER_NAME";"Motion Industries";"";
"Weight";"0.01 lbs";"";
"TRACEPARTS";"TRACEPARTS";"";
"Row_Type_Fill_Slot";"Single Row Non-Fill Slot";"";
"Cage_Material";"Steel";"";
"Snap_Ring_Included";"Without Snap Ring";"";
"Overall_Width";"5 mm";"";
"Operating_Temperature_Range";"-40 to 120 ºC";"";
"TraceParts.ClassPath";"MOTION_1402216426:90-20102020-047584";"";
"Bore_Diameter";"6 mm";"";
"TraceParts.InstanceId";"90-20102020-0475842N3XX9WWY2MK673V115V3T3RA";"";
"Bore_Type";"Round";"";
